video_id,title_length,uppercase_count,lowercase_count,special_characters_count,emoji_count,at_tags_count,dominant_color_r,dominant_color_g,dominant_color_b,num_edges,img_entropy,description_length,hashtags_count,urls_count,tags,duration,view_count,like_count
XeNFwPy2OME,42,14,21,3,0,0,0,0,0,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47887,2756
XeNFwPy2OME,42,14,21,3,0,0,7,7,10,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47887,2756
XeNFwPy2OME,42,14,21,3,0,0,6,6,9,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47887,2756
XeNFwPy2OME,42,14,21,3,0,0,6,6,9,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47887,2756
xqXZ6GU9Rfs,49,9,29,2,0,0,5,189,87,15113,[4.541368],802,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft beacon beacon,beacon beacon,tapoin 165 witheriä,jotta,voisin,rakentaa,tämän,minecraft beacon,tapoin witherin,witheri,wither,witheriä,minecraft jyksedi wither,jyksedi beacon",PT11M5S,46418,2749
-Nx8BYUBKWI,61,16,29,6,0,0,5,6,10,28236,[4.701803],899,3,8,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft puufarmi,puufarmi,minecraft puu,minecraft loputtomasti puuta,minecraft tree farm,minecraft farmi,jyksedi farmi,jyksedi farm,jyksedi loputtomasti,minecraft loputtomasti,loputtomasti puuta,minecraft hardcoressa,jyksedi minecraft farmi,minecraft farmi jyksedi",PT20M3S,52189,3941
-Nx8BYUBKWI,61,16,29,6,0,0,73,115,142,28236,[4.701803],899,3,8,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft puufarmi,puufarmi,minecraft puu,minecraft loputtomasti puuta,minecraft tree farm,minecraft farmi,jyksedi farmi,jyksedi farm,jyksedi loputtomasti,minecraft loputtomasti,loputtomasti puuta,minecraft hardcoressa,jyksedi minecraft farmi,minecraft farmi jyksedi",PT20M3S,52189,3941
EilFXRPYXu0,53,18,30,1,0,0,77,130,216,8994,[4.272971],915,3,7,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft 1.20,minecraft uusi päivitys,minecraft piglin head,minecraft harvinaisin itemi,minecraft harvinaisin,löysin harvinaisen,harvinainen,minecraft harvinainen,jyksedi piglin,piglin,charged creeper,jyksedi charged creeper",PT14M57S,62122,4574
EilFXRPYXu0,53,18,30,1,0,0,0,0,39,8994,[4.272971],915,3,7,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft 1.20,minecraft uusi päivitys,minecraft piglin head,minecraft harvinaisin itemi,minecraft harvinaisin,löysin harvinaisen,harvinainen,minecraft harvinainen,jyksedi piglin,piglin,charged creeper,jyksedi charged creeper",PT14M57S,62123,4574
xqXZ6GU9Rfs,49,9,29,2,0,0,0,186,81,15113,[4.541368],802,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft beacon beacon,beacon beacon,tapoin 165 witheriä,jotta,voisin,rakentaa,tämän,minecraft beacon,tapoin witherin,witheri,wither,witheriä,minecraft jyksedi wither,jyksedi beacon",PT11M5S,46418,2749
